ticker,ftcode
PPY,1598575
PAR,82356078
PGC,82836
PNL,53618803
PKD,434716221
PWN,30599817
PAB,7892774
PYG,457740865
PEK,5593094
PKO,57219595
PG1,49957043
PEX,7128282
PPC,232688
PUN,6708659
PEL,227432
PCG,146297
PIA,146343
PEN,227465
PSM,7892777
PTL,264142
PPE,437474597
PHR,447978239
PNN,1598574
PIL,11193898
PIC,80536809
PPT,232984
PEC,51235738
PRU,234152
PTR,235490
PRL,9626924
PSA,234421
PAA,224934
PXS,236716
PHI,228972
PHK,165919
POH,232083
PYC,1534841
PLL,228220
PLS,8027516
PGY,4610813
PNI,7650935
PNC,74285858
PIO,229539
PZM,437480542
PGS,228662
PGM,4714652
PAI,299612510
PTM,7377005
PMC,230939
PL8,403829303
PLC,9114666
PKA,318528613
PLH,31417894
PAF,74819752
PGF,70172314
PMP,231195
PNX,9695998
PVE,236079
POD,445267910
3DP,10437143
PXX,53283667
PNV,197259
POS,212312
P88,447992595
PVL,359096190
POZ,12178099
PPK,232824
PPS,4718237
PDZ,152668
PBT,225892
PDI,27062867
PMV,231303
PEZ,80404528
PTX,280607
PGO,55047821
PRY,234298
PFG,55367
PRT,234083
PME,230995
PPG,1682788
PBP,5892638
PFP,440268233
PCH,23478127
PLG,358468559
PRO,233802
PSC,21401093
POW,5947364
PIQ,80536810
PSZ,69781285
PSI,320554376
PVA,11875263
PTB,6063612
PHA,228779
PVD,40214312
PM1,10145484
PPL,293458769
PUR,26596916
PPH,366809653
PWH,316350719
PLX,420737528
QTG,238066
QAN,237135
QIP,361676148
QBE,237176
QMS,275928016
QRX,7466455
QFY,7964292
QTM,238240
QGL,70806331
QUB,6189677
QBL,9390151
QST,238157
QUE,238290
QSS,112365
QHL,3145465
QIN,267443
QVE,77705936
R3D,56592791
RAC,355053662
RAF,107807
RDN,198465
RMS,243294
RHC,241823
RND,243496
RAN,357037276
RRS,244757
RPG,244352
RPL,382583655
REL,142861
RAW,3094569
RBR,6316053
RCR,239924
REA,240471
RCL,449562589
RLE,70172328
REV,319872731
RRP,205808
RCE,324635999
RKN,242746
RFT,152243
RED,240561
RMP,8251895
RHI,3918764
RDM,240211
RMX,36066063
RVR,2534038
ROG,7402564
RCP,62286
RBL,343972702
RDF,240150
RFX,28186027
RDH,26294136
RDS,5086971
REH,240711
RLC,7734113
RCT,239963
RFN,277599290
RGP,4306776
RGS,67701075
REX,3494643
REG,79146127
RRL,244730
RD1,434705626
RWC,343507757
RNU,27553927
RNT,275100048
RNE,136754
RAP,27429473
RMD,243138
RSG,244928
RHT,54753410
RBX,7363189
RDG,34560088
RES,72292
RMI,243192
REZ,1425230
RSH,247339
RBD,428980596
RFG,4888444
RTE,402170356
RVA,28474057
REF,3746899
RWD,245892
RXH,79097234
RXM,8433166
REY,3137371
RNO,56819080
RHP,43092787
RHS,1596039
RHY,442189459
RIC,242072
RIE,27570233
RVY,8952556
RCW,427096335
RIM,242230
RIO,242302
RNL,239864
RIR,16935396
RGL,424265654
RMT,7402571
RMG,243165
RNY,3145471
RBO,105270
RY8,442177116
ROO,442152613
RGI,376838050
RXL,246006
RCO,4974474
RUL,11655356
RTG,75481625
RUB,7678157
RTR,34233751
RFF,72172995
RHL,241899
RXP,34542084
RYD,300431802
S2R,309354444
SBR,248734
SGC,3347786
SRH,3746898
SAN,39706376
SLM,255248
SO4,5909234
SSN,260227
SFR,251652
SNC,70485944
SFM,37920572
SMI,58398202
STO,261429
SAR,3750911
STN,455761552
SND,9216743
SYA,91783
SCG,76053389
SFC,251361
SCL,69430481
SDV,167026
SIE,253440
SCO,354059085
SCT,403817190
SDI,250201
SFG,79849
SLK,68502887
SES,78515
SEK,1602597
SHV,253118
SWF,431866135
SEN,250997
SXY,282227
SNS,28101123
SE1,375610518
SEQ,82038
S3R,49565717
SRV,259774
SSM,265887
SVT,400443106
SVW,23693826
SWM,283651
SGF,72700592
SRO,203972
SSG,353800105
SRR,6144327
SFX,28186030
SHU,19879526
SHJ,56845837
SCP,52379331
SHH,22383699
SHM,275486865
SBU,23216001
SDX,413486217
SSL,260182
SIG,55666
SIH,223106
SLX,255500
SIV,1832677
SCI,35504349
SVH,360883893
SLR,9014663
SVL,5965345
SVA,72333261
SIS,445253169
SIO,80404535
SGM,256133
SEH,20434136
SNV,8433167
SRI,259515
SRX,259803
SIT,254808
SAM,25223544
SI6,9258828
SKN,323488946
SAS,4696716
SKT,2421359
SKC,254471
SKF,39277130
SKP,2534636
SGH,7334326
SM8,344661789
SPZ,5933282
SIQ,76252476
SMP,67291570
SMA,255621
SOM,257621
SHL,252792
SMG,337797910
SAY,235164
SPB,222792
S32,88102539
SXE,9231398
SXX,249999
SXL,3526639
SAU,1657171
SUH,22330039
SVM,5947363
SKI,3741056
SPK,266801
SEI,4721928
SFH,205172
SPX,7133300
SP3,417089262
SDA,77414972
SEC,435415418
SRS,233031
ST1,270335
SPI,9130939
SFI,7133299
SHO,11685444
SPO,74848771
SBX,434741094
SFL,85346187
SIX,11027186
SRG,261694
SBM,19874919
SGQ,25989504
SMR,21702227
STL,25665334
SPL,258471
GAS,430708791
SVY,74386311
SDF,59611073
SST,260339
SRZ,1692864
SCU,40134
SBI,5494744
SGP,252220
SKS,254714
SHK,36199
